k,fee,max_slippage,seed,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
50000000000.0,0.02,0.2,1235,-588.7681942748278,619.3668728667847,433.89,3.6966666666666668,462.37833333333333,528.4916666666667,-592.4648609414945,-34.93432749942055,1.229495245347413e-146,156.9885395334513,1.8806354699880756,0.06050643641359241,-94.60166666666667,-0.5683626674410119,0.5700017367731798
500000000000.0,0.01,0.2,91011,-617.4344607057357,494.6977138020465,359.2583333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-621.1311273724023,-44.18037202725903,1.2744498557492173e-190,32.31938046871315,0.6917405507046134,0.4893683024041101,-169.23333333333332,-1.2906094238098895,0.19733707534835115
100000000000.0,0.02,0.5,1235,-1445.8128759137026,677.523951515358,424.045,3.6966666666666668,462.37833333333333,528.4916666666667,-1449.5095425803693,-37.104980201400686,2.2741806911083727e-157,215.14561818202475,2.569953669448679,0.010411836287466017,-104.44666666666667,-0.6275208982007887,0.5305569751824301
100000000000.0,0.001,0.5,121314,-1679.4768822274614,557.9423998227962,370.8383333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-1683.173548894128,-36.98151615796441,9.137665075338796e-157,95.56406648946303,1.908923555166108,0.056749539030991336,-157.65333333333334,-1.074495496088625,0.2830332937288676
10000000000.0,0.02,0.1,121314,-242.47724584816436,465.514617986581,388.38166666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-246.17391251483102,-38.569339295079786,1.7943279501557732e-164,3.1362846532477002,0.06427111603142965,0.9487757942545344,-140.11,-0.9549744984126699,0.3399758222275938
10000000000.0,0.001,0.2,91011,-679.0679823010057,427.04019139785265,369.40166666666664,3.6966666666666668,462.37833333333333,528.4916666666667,-682.7646489676723,-45.97225492819968,1.3019752289064036e-198,-35.338141935480635,-0.7563854495397713,0.4497155024531847,-159.09,-1.2131766671599167,0.22554047050617468
100000000000.0,0.02,0.05,5678,-71.27701206500912,408.0379208567215,373.1983333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-74.97367873167579,-26.86672325492317,6.169338796639878e-105,-54.34041247661189,-1.073870554639114,0.2833131027769548,-155.29333333333332,-1.102963854439348,0.2704857876798863
50000000000.0,0.05,0.05,5678,3.2107894736842155,410.9584885978407,384.67833333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-0.48587719298245097,-0.7053879682399086,0.4808430401448982,-51.41984473549264,-1.016007678904309,0.310035928148137,-143.81333333333333,-1.0218200253923866,0.3072785881065211
100000000000.0,0.02,0.05,5678,-71.27701206500912,408.0379208567215,373.1983333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-74.97367873167579,-26.86672325492317,6.169338796639878e-105,-54.34041247661189,-1.073870554639114,0.2833131027769548,-155.29333333333332,-1.102963854439348,0.2704857876798863
500000000000.0,0.02,0.2,91011,-551.9329902141733,496.80883645308467,368.15833333333336,3.6966666666666668,462.37833333333333,528.4916666666667,-555.62965688084,-43.9103141510041,2.1119123468591273e-189,34.430503119751336,0.7390626591226418,0.460158452097852,-160.33333333333334,-1.2215845638461365,0.2223453145306155
