k,fee,max_slippage,num_hybrid_agents,fundamental_file_path,seed,effect_type,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
100000000000.0,0.003,0.05,100,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,105,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,110,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,115,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,120,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,125,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,130,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,135,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,140,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,145,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,150,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,155,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,160,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,165,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,170,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,175,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,180,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,185,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,190,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,195,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
100000000000.0,0.003,0.05,200,data/ETH1.xlsx,5678,混合效应,,,,,,,,,,,,,,,
