EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:30:01,5.0,-1882.0,18172.0
2025-10-28 09:30:02,-59.0,415.0,232.0
2025-10-28 09:30:03,-2.0,2520.0,191.0
2025-10-28 09:30:04,1.0,377.0,18.0
2025-10-28 09:30:05,0.0,300.0,99.0
2025-10-28 09:30:06,0.0,-2706.0,229.0
2025-10-28 09:30:07,0.0,-53.0,15.0
2025-10-28 09:30:08,0.0,-2896.0,-128.0
2025-10-28 09:30:09,0.0,-2736.0,-181.0
2025-10-28 09:30:10,1.0,12993.0,55.0
2025-10-28 09:30:11,-3.0,24003.0,223.0
2025-10-28 09:30:12,-1.0,24171.0,63.0
2025-10-28 09:30:13,0.0,38791.0,-114.0
2025-10-28 09:30:14,0.0,31620.0,-153.0
2025-10-28 09:30:15,0.0,24235.0,123.0
2025-10-28 09:30:16,0.0,24251.0,-115.0
2025-10-28 09:30:17,0.0,31510.0,-156.0
2025-10-28 09:30:18,0.0,24485.0,-52.0
2025-10-28 09:30:19,0.0,21739.0,-95.0
2025-10-28 09:30:20,0.0,-12104.0,78.0
2025-10-28 09:30:21,0.0,202.0,-14.0
2025-10-28 09:30:22,0.0,430.0,-51.0
2025-10-28 09:30:23,0.0,-15.0,235.0
2025-10-28 09:30:24,0.0,85.0,73.0
2025-10-28 09:30:25,0.0,-2769.0,21.0
2025-10-28 09:30:26,0.0,-3078.0,252.0
2025-10-28 09:30:27,0.0,-2788.0,-68.0
2025-10-28 09:30:28,1.0,-2744.0,44.0
2025-10-28 09:30:29,1.0,-2751.0,46.0
2025-10-28 09:30:30,-1.0,-3067.0,-193.0
2025-10-28 09:30:31,0.0,100141.0,169.0
2025-10-28 09:30:32,0.0,97385.0,99.0
2025-10-28 09:30:33,4.0,-2537.0,-147.0
2025-10-28 09:30:34,-1.0,11.0,185.0
2025-10-28 09:30:35,0.0,23.0,-47.0
2025-10-28 09:30:36,0.0,232.0,124.0
2025-10-28 09:30:37,0.0,100284.0,-81.0
2025-10-28 09:30:38,0.0,100173.0,183.0
2025-10-28 09:30:39,0.0,100265.0,-186.0
2025-10-28 09:30:40,0.0,315.0,102.0
2025-10-28 09:30:41,0.0,100760.0,-55.0
2025-10-28 09:30:42,0.0,100810.0,-80.0
2025-10-28 09:30:43,0.0,100518.0,6.0
2025-10-28 09:30:44,0.0,100501.0,-107.0
2025-10-28 09:30:45,4.0,100379.0,-168.0
2025-10-28 09:30:46,0.0,100556.0,-98.0
2025-10-28 09:30:47,0.0,100662.0,-48.0
2025-10-28 09:30:48,0.0,100424.0,94.0
2025-10-28 09:30:49,0.0,584.0,-105.0
2025-10-28 09:30:50,0.0,164.0,204.0
2025-10-28 09:30:51,0.0,555.0,-175.0
2025-10-28 09:30:52,0.0,436.0,-228.0
2025-10-28 09:30:53,-2.0,337.0,15.0
2025-10-28 09:30:54,0.0,306.0,66.0
2025-10-28 09:30:55,0.0,-99770.0,282.0
2025-10-28 09:30:56,0.0,-99956.0,238.0
2025-10-28 09:30:57,0.0,1.0,-34.0
2025-10-28 09:30:58,0.0,-99671.0,86.0
2025-10-28 09:30:59,0.0,-99772.0,-76.0
2025-10-28 09:31:00,0.0,-100292.0,-54.0
2025-10-28 09:31:01,0.0,769.0,-113.0
2025-10-28 09:31:02,0.0,1154.0,-257.0
2025-10-28 09:31:03,0.0,1056.0,43.0
2025-10-28 09:31:04,-1.0,1068.0,-16.0
2025-10-28 09:31:05,0.0,950.0,132.0
2025-10-28 09:31:06,0.0,741.0,139.0
2025-10-28 09:31:07,0.0,100613.0,-163.0
2025-10-28 09:31:08,3.0,100241.0,128.0
2025-10-28 09:31:09,0.0,65.0,-164.0
2025-10-28 09:31:10,0.0,-459.0,57.0
2025-10-28 09:31:11,0.0,394.0,-268.0
2025-10-28 09:31:12,-3.0,31.0,314.0
2025-10-28 09:31:13,1.0,-42.0,141.0
2025-10-28 09:31:14,0.0,229.0,107.0
2025-10-28 09:31:15,0.0,137.0,148.0
2025-10-28 09:31:16,0.0,-212.0,182.0
2025-10-28 09:31:17,0.0,99695.0,-32.0
2025-10-28 09:31:18,0.0,101744.0,-54.0
2025-10-28 09:31:19,1.0,101957.0,-53.0
2025-10-28 09:31:20,0.0,-99816.0,-124.0
2025-10-28 09:31:21,0.0,-309.0,81.0
